"modeldataset","presabs","id","lat","long","elev_m","bio15_stream","SLOPE_stream","terrough20C_stream","bio12_stream","logbio12_stream","logDrainAre_stream"
"Stream ENM",0,"Pseudo12107",43.02375,-123.777083333667,846,114.850997924805,0.132350757718086,52.6976127624512,77.2990036010742,4.36053487751444,0.714766372049639
"Stream ENM",0,"Pseudo12108",36.21375,-118.952916667,355,15.1264657974243,0.123593397438526,45.0606956481934,1.61099994182587,0.959733267436589,0.983853232876873
"Stream ENM",0,"Pseudo12109",36.6620833333333,-121.562916667,29,12.640552520752,0.0408405400812626,3.55329990386963,1.71599996089935,0.999160195300039,0.574694314587329
"Stream ENM",0,"Pseudo12110",35.8429166666667,-120.622916667,352,22.0717735290527,0.0186322797089815,25.7929821014404,2.5090000629425,1.25533111453852,0.845220304089599
"Stream ENM",0,"Pseudo12111",42.65625,-123.019583333667,698,124.67684173584,0.104747802019119,52.669017791748,77.6849975585938,4.36545250902523,0.420181670158858
"Stream ENM",0,"Pseudo12112",38.3054166666667,-120.972083333667,64,109.37215423584,0.00275393994525075,7.79804611206055,528.085998535156,6.27115098676492,0.68546480819397
"Stream ENM",0,"Pseudo12113",39.47375,-122.268750000333,47,82.8945999145508,0.00191435997840017,1.28265857696533,20.9740009307861,3.08985997863721,0.432700539553612
"Stream ENM",0,"Pseudo12114",37.11625,-121.583750000333,167,0,0,15.1845321655273,0,0,0
"Stream ENM",0,"Pseudo12115",38.94875,-122.305416667,623,46.2433662414551,0.0742020979523659,39.6714057922363,6.90999984741211,2.06812776248906,0.708833458295
"Stream ENM",0,"Pseudo12116",36.0220833333333,-117.661250000333,1516,23.3350868225098,0.063762329518795,26.4708156585693,3.02300000190735,1.39202789344176,0.650983718608814
"Stream ENM",0,"Pseudo12117",40.66125,-124.296250000333,0,91.6820755004883,9.99999974737875e-06,1.03736877441406,228.535995483398,5.43605986026693,0.627324061893702
"Stream ENM",0,"Pseudo12118",39.2320833333333,-121.797083333667,191,0,0,52.7609100341797,0,0,0
"Stream ENM",0,"Pseudo12119",40.22875,-124.040416667,170,83.9254455566406,0.0518945418298244,79.6530838012695,157.050003051758,5.06291145797044,0.598222413554185
"Stream ENM",0,"Pseudo12120",36.2870833333333,-119.216250000333,109,0,0,1.44627904891968,0,0,0
"Stream ENM",0,"Pseudo12121",36.53125,-120.807916667,652,1.77325582504272,0.131751149892807,46.3451614379883,0.209999993443489,0.190620354190046,1.30304240201887
"Stream ENM",0,"Pseudo12122",39.22125,-122.143750000333,16,114.64136505127,0.000629029993433505,1.76054644584656,127.299003601074,4.85436350542677,0.568776757159025
"Stream ENM",0,"Pseudo12123",40.57875,-122.990416667,1201,68.1997833251953,0.209925204515457,128.515365600586,21.701000213623,3.12240898579078,0.7262295501745
"Stream ENM",0,"Pseudo12124",43.1645833333333,-123.262916667,217,123.908279418945,0.0175439696758986,28.5870170593262,118.077003479004,4.77977037189918,0.431794815662953
"Stream ENM",0,"Pseudo12125",37.35125,-119.997083333667,424,63.7399253845215,0.0302213300019503,42.3237762451172,11.4280004501343,2.51995202775017,0.726244946622217
"Stream ENM",0,"Pseudo12126",39.85625,-120.903750000333,1222,73.509635925293,0.108942061662674,109.948188781738,83.4280014038086,4.43589911676566,0.556960540387083
"Stream ENM",0,"Pseudo12127",40.47125,-121.848750000333,824,3.26634168624878,0.0593768991529942,57.5773506164551,44.6279983520508,3.82052152704859,0.381412404384188
"Stream ENM",0,"Pseudo12128",38.6429166666667,-121.542916667,2,0,0,1.57179880142212,0,0,0
"Stream ENM",0,"Pseudo12129",36.3054166666667,-116.780416667,270,0,0,156.789337158203,0,0,0
"Stream ENM",0,"Pseudo12130",40.7629166666667,-123.693750000333,1309,74.310676574707,0.095988817512989,81.9710922241211,139.242004394531,4.94336953311303,0.558109517589747
"Stream ENM",0,"Pseudo12131",40.1045833333333,-123.903750000333,181,84.0650634765625,0.0179296806454659,26.4852352142334,109.042999267578,4.70087119184249,0.717136711335368
"Stream ENM",0,"Pseudo12132",38.29125,-120.732916667,302,60.3788566589355,0.0748961865901947,47.9004516601562,11.5979995727539,2.53353803728593,0.703802712588324
"Stream ENM",0,"Pseudo12133",37.3295833333333,-119.980416667,399,15.3576364517212,0.0336986295878887,19.6624240875244,1.66199994087219,0.97907769776112,0.864100531335699
"Stream ENM",0,"Pseudo12134",38.8004166666667,-121.762083333667,8,0,0,1.6311811208725,0,0,0
"Stream ENM",0,"Pseudo12135",37.4029166666667,-118.537916667,1356,59.7670288085938,0.0235410891473293,20.2662582397461,90.9120025634766,4.52083162544162,0.503645755310021
"Stream ENM",0,"Pseudo12136",38.1854166666667,-120.851250000333,191,74.9501724243164,0.0201433002948761,21.9122867584229,16.1240005493164,2.84048102036144,0.691001616666182
"Stream ENM",0,"Pseudo12137",39.93875,-123.384583333667,288,92.3157653808594,0.0247914306819439,67.3443374633789,7592.87890625,8.93509779468752,0.606040106443607
"Stream ENM",0,"Pseudo12138",36.03375,-120.808750000333,369,2.21098065376282,0.0565180294215679,55.8407287597656,0.25,0.22314355131421,0.956673939956172
"Stream ENM",0,"Pseudo12139",37.3429166666667,-119.496250000333,1634,89.9730987548828,0.0219562593847513,27.5758895874023,143.985992431641,4.9766371338344,0.650575106101259
"Stream ENM",0,"Pseudo12140",36.3804166666667,-121.002916667,464,0,0,45.3507308959961,0,0,0
"Stream ENM",0,"Pseudo12141",39.1179166666667,-121.347083333667,75,38.2586326599121,0.0149761298671365,13.5082969665527,5.14400005340576,1.81547600453771,0.968101429979157
"Stream ENM",0,"Pseudo12142",37.7904166666667,-121.372916667,1,0,0,1.43962669372559,0,0,0
"Stream ENM",0,"Pseudo12143",35.8004166666667,-118.197083333667,1301,89.2033386230469,0.037059661000967,109.227546691895,2364.962890625,7.76894035997957,0.491838654416823
"Stream ENM",0,"Pseudo12144",38.39625,-122.508750000333,213,68.7123641967773,0.0889759883284569,48.3968162536621,18.367000579834,2.96357061668487,0.664721462970711
"Stream ENM",0,"Pseudo12145",43.18625,-123.303750000333,214,122.580307006836,0.0277801007032394,73.9492950439453,140.938003540039,4.95539036747755,0.423694241337693
"Stream ENM",0,"Pseudo12146",40.8620833333333,-123.402083333667,858,66.7806396484375,0.23982772231102,184.480575561523,26.0100002288818,3.29620717627849,0.879849645019813
"Stream ENM",0,"Pseudo12147",39.26875,-120.950416667,904,87.6651382446289,0.00339449010789394,67.4570236206055,700.422973632812,6.55311109113719,0.682983147500823
"Stream ENM",0,"Pseudo12148",38.91375,-122.490416667,716,100.993606567383,0.00911111012101173,39.1998023986816,78.8809967041016,4.38053798598732,0.450793724832089
"Stream ENM",0,"Pseudo12149",37.3520833333333,-117.996250000333,1562,112.695373535156,0.00894706044346094,20.5660762786865,69.7610015869141,4.25930802389624,0.445244154772527
"Stream ENM",0,"Pseudo12150",39.6670833333333,-123.632083333667,521,83.1489181518555,0.055737130343914,72.3907318115234,182.121994018555,5.21015256472086,0.535433018436195
"Stream ENM",0,"Pseudo12151",37.19875,-120.421250000333,54,0,0,1.84681367874146,0,0,0
"Stream ENM",0,"Pseudo12152",38.8845833333333,-121.885416667,3,0,0,1.08690083026886,0,0,0
"Stream ENM",0,"Pseudo12153",40.5254166666667,-121.742916667,1226,49.0557060241699,0.00998128019273281,8.66211700439453,950.335021972656,6.85786628439091,0.361533231096754
"Stream ENM",0,"Pseudo12154",38.2754166666667,-122.088750000333,25,0,0,23.2068481445312,0,0,0
"Stream ENM",0,"Pseudo12155",35.5579166666667,-120.262916667,370,18.3044376373291,0.0167360696941614,16.4473209381104,2.40300011634827,1.22465742970868,0.641986877250789
"Stream ENM",0,"Pseudo12156",41.1904166666667,-123.442916667,1266,69.5085144042969,0.166993767023087,98.5263137817383,104.866996765137,4.66218355875861,0.544708490403064
"Stream ENM",0,"Pseudo12157",38.0029166666667,-118.182916667,1758,0,0,49.8138618469238,0,0,0
"Stream ENM",0,"Pseudo12158",38.7770833333333,-120.828750000333,449,88.8286437988281,0.126835435628891,92.0748443603516,44.7680015563965,3.82358519097244,0.821334846066046
"Stream ENM",0,"Pseudo12159",38.9329166666667,-122.732916667,568,96.9145965576172,0.00724023021757603,22.2889347076416,158.667999267578,5.07309665485147,0.366817495459205
"Stream ENM",0,"Pseudo12160",39.75625,-121.468750000333,313,88.3031234741211,0.00916207022964954,162.506546020508,8672.5634765625,9.06803499762312,0.559910395838225
"Stream ENM",0,"Pseudo12161",36.29125,-117.238750000333,1594,12.4050312042236,0.0918718129396439,53.0149879455566,1.41400003433228,0.881285136897494,0.446764817483998
"Stream ENM",0,"Pseudo12162",39.3029166666667,-120.786250000333,1378,66.0699691772461,0.0732906982302666,33.1391639709473,26.7390003204346,3.322839376762,0.687455998629161
"Stream ENM",0,"Pseudo12163",41.70375,-122.872083333667,1132,24.2431468963623,0.152636587619781,110.476638793945,3.37899994850159,1.47682037605895,1.04571395294739
"Stream ENM",0,"Pseudo12164",43.4129166666667,-123.847916667,488,111.491874694824,0.230139076709747,103.391555786133,71.5759963989258,4.28463423904726,0.922993387038185
"Stream ENM",0,"Pseudo12165",38.80375,-121.755416667,9,133.178756713867,9.99999974737875e-06,1.6311811208725,4579.46923828125,8.4295567256334,0.53584990881681
