"ID","site","Uplot","surv0","surv1","surv2","surv3","surv4","surv_end15","start","size1","size2","size3","size4","size1_ln","size2_ln","size3_ln","size4_ln","pFlower2014","fec2014","pFlower2015","fec2015"
"tran_470","CALAPOOIA","CALAPOOIAP08",1,1,0,NA,NA,NA,NA,3,NA,NA,NA,1.38629436111989,NA,NA,NA,NA,NA,NA,NA
"tran_471","CALAPOOIA","CALAPOOIAP08",1,1,1,0,NA,0,NA,14,14,NA,NA,2.70805020110221,2.70805020110221,NA,NA,1,1,NA,NA
"tran_474","CALAPOOIA","CALAPOOIAP08",1,1,1,1,1,1,NA,44,85,13,21,3.80666248977032,4.45434729625351,2.63905732961526,3.09104245335832,1,6,0,NA
"tran_459","CALAPOOIA","CALAPOOIAP09",1,1,1,1,1,1,NA,49,47,78,475,3.91202300542815,3.87120101090789,4.36944785246702,6.16541785423142,0,NA,1,36
"tran_456","CALAPOOIA","CALAPOOIAP09",1,1,1,1,1,1,NA,13,18,31,62,2.63905732961526,2.94443897916644,3.46573590279973,4.14313472639153,0,NA,0,NA
"tran_462","CALAPOOIA","CALAPOOIAP09",1,1,1,1,1,1,NA,17,35,35,57,2.89037175789616,3.58351893845611,3.58351893845611,4.06044301054642,0,NA,0,NA
"tran_453","CALAPOOIA","CALAPOOIAP09",1,1,1,1,1,1,NA,6,8,19,47,1.94591014905531,2.19722457733622,2.99573227355399,3.87120101090789,0,NA,0,NA
"tran_461","CALAPOOIA","CALAPOOIAP09",1,1,1,1,1,1,NA,52,44,14,62,3.97029191355212,3.80666248977032,2.70805020110221,4.14313472639153,0,NA,0,NA
"tran_455","CALAPOOIA","CALAPOOIAP09",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_463","CALAPOOIA","CALAPOOIAP09",1,1,0,NA,NA,NA,NA,4,NA,NA,NA,1.6094379124341,NA,NA,NA,NA,NA,NA,NA
"tran_457","CALAPOOIA","CALAPOOIAP09",1,1,0,NA,NA,NA,NA,5,NA,NA,NA,1.79175946922805,NA,NA,NA,NA,NA,NA,NA
"tran_458","CALAPOOIA","CALAPOOIAP09",1,1,1,0,NA,0,NA,5,4,NA,NA,1.79175946922805,1.6094379124341,NA,NA,0,NA,NA,NA
"tran_460","CALAPOOIA","CALAPOOIAP09",1,1,1,0,NA,0,NA,6,5,NA,NA,1.94591014905531,1.79175946922805,NA,NA,0,NA,NA,NA
"tran_454","CALAPOOIA","CALAPOOIAP09",1,1,1,1,1,1,NA,20,27,27,80,3.04452243772342,3.3322045101752,3.3322045101752,4.39444915467244,0,NA,1,2
"tran_535","CALAPOOIA","CALAPOOIAP10",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_529","CALAPOOIA","CALAPOOIAP10",1,1,1,1,1,1,NA,37,32,44,123,3.63758615972639,3.49650756146648,3.80666248977032,4.82028156560504,0,NA,0,NA
"tran_534","CALAPOOIA","CALAPOOIAP10",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_531","CALAPOOIA","CALAPOOIAP10",1,1,0,NA,NA,NA,NA,21,NA,34,61,3.09104245335832,NA,3.55534806148941,4.12713438504509,NA,NA,NA,NA
"tran_528","CALAPOOIA","CALAPOOIAP10",1,1,1,1,1,1,NA,8,14,10,27,2.19722457733622,2.70805020110221,2.39789527279837,3.3322045101752,0,NA,0,NA
"tran_527","CALAPOOIA","CALAPOOIAP10",1,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.405465108108164,NA,NA,NA,NA,NA,NA,NA
"tran_532","CALAPOOIA","CALAPOOIAP10",1,1,1,1,1,1,NA,40,51,23,43,3.71357206670431,3.95124371858143,3.17805383034795,3.78418963391826,1,1,0,NA
"tran_530","CALAPOOIA","CALAPOOIAP10",1,1,1,1,1,1,NA,20,16,6,16,3.04452243772342,2.83321334405622,1.94591014905531,2.83321334405622,0,NA,0,NA
"tran_533","CALAPOOIA","CALAPOOIAP10",1,1,0,NA,NA,NA,NA,12,NA,NA,NA,2.56494935746154,NA,NA,NA,NA,NA,NA,NA
"tran_597","COAST","COASTP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_592","COAST","COASTP01",1,1,1,0,NA,0,NA,21,11,NA,NA,3.09104245335832,2.484906649788,NA,NA,0,NA,NA,NA
"tran_594","COAST","COASTP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_589","COAST","COASTP01",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_588","COAST","COASTP01",1,1,1,0,NA,0,NA,68,59,NA,NA,4.23410650459726,4.0943445622221,NA,NA,1,1,NA,NA
"tran_596","COAST","COASTP01",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_590","COAST","COASTP01",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_591","COAST","COASTP01",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_593","COAST","COASTP01",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_595","COAST","COASTP01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_581","COAST","COASTP02",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_578","COAST","COASTP02",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_587","COAST","COASTP02",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_584","COAST","COASTP02",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_585","COAST","COASTP02",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_577","COAST","COASTP02",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
