SiteID,ID,Spp,PlotID,Region,Latitude,Longitude,Elevation,Class_10,NewPlot_10,PercFr_10,TotFr_10,TotFl_10,TotNFStLn_10,TotFlStLn_10,TotStLn_10,Class_11,NewPlot_11,PercFr_11,TotFr_11,TotFl_11,TotNFStLn_11,TotFlStLn_11,TotStLn_11,Class_12,NewPlot_12,PercFr_12,TotFr_12,TotFl_12,TotNFStLn_12,TotFlStLn_12,TotStLn_12,Surv1011,Surv1112
Bear Creek,58981,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,31,NA,31,NA,NA
Bear Creek,58982,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,0.571428571,4,7,NA,49,49,NA,NA
Bear Creek,58983,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,10,NA,10,NA,NA
Bear Creek,58984,C,285,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,1,1,1,NA,11,11,NA,NA
Bear Creek,58985,C,286,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,4,NA,4,NA,NA
Bear Creek,58986,C,286,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,26,NA,26,NA,NA
Bear Creek,58987,C,286,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,52,NA,52,NA,NA
Bear Creek,58988,C,286,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,13,NA,13,NA,NA
Bear Creek,58989,C,286,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,8,NA,8,NA,NA
Bear Creek,58990,C,286,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,19,NA,19,NA,NA
Bear Creek,58991,C,286,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,J,T,NA,NA,NA,6,NA,6,NA,NA
Bear Creek,58992,C,286,C1,36.20696,-118.72691,,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,A,T,0.857142857,6,7,NA,142,142,NA,NA
