"Surv","z","z1","Repr","Fec","SiteID","PlotID","Region","ID","NewPlot_11","NewPlot_12","Year"
NA,19,NA,1,1,"Carlon",19,"C2",11518,FALSE,FALSE,"1213"
NA,27,NA,0,NA,"Carlon",20,"C2",11545,FALSE,FALSE,"1213"
NA,10,NA,0,NA,"Carlon",18,"C2",11971,FALSE,FALSE,"1213"
NA,81.6,NA,0,NA,"Carlon",19,"C2",12123,FALSE,FALSE,"1213"
NA,61,NA,0,NA,"Carlon",19,"C2",12178,FALSE,FALSE,"1213"
NA,25,NA,0,NA,"Carlon",20,"C2",12195,FALSE,FALSE,"1213"
NA,58,NA,1,0,"Carlon",19,"C2",42991,FALSE,FALSE,"1213"
NA,44,NA,0,NA,"Carlon",19,"C2",43022,FALSE,FALSE,"1213"
NA,39.6,NA,0,NA,"Carlon",18,"C2",43031,FALSE,FALSE,"1213"
NA,73,NA,0,NA,"Carlon",18,"C2",43033,FALSE,FALSE,"1213"
NA,122.4,NA,0,NA,"Carlon",18,"C2",43042,FALSE,FALSE,"1213"
NA,49,NA,0,NA,"Carlon",19,"C2",43050,FALSE,FALSE,"1213"
NA,43,NA,0,NA,"Carlon",18,"C2",43063,FALSE,FALSE,"1213"
NA,157.6,NA,1,NA,"Carlon",20,"C2",53457,FALSE,FALSE,"1213"
NA,124,NA,1,5,"Carlon",20,"C2",53458,FALSE,FALSE,"1213"
NA,47,NA,1,2,"Carlon",20,"C2",53465,FALSE,FALSE,"1213"
NA,10,NA,0,NA,"Carlon",20,"C2",53466,FALSE,FALSE,"1213"
NA,65,NA,0,NA,"Carlon",20,"C2",53467,FALSE,FALSE,"1213"
NA,57.4,NA,0,NA,"Carlon",19,"C2",56431,FALSE,FALSE,"1213"
NA,4,NA,0,NA,"Carlon",20,"C2",59433,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59434,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59435,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59436,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59437,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59439,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59440,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59441,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59442,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59443,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59444,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59445,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59446,FALSE,FALSE,"1213"
NA,1,NA,0,NA,"Carlon",20,"C2",59447,FALSE,FALSE,"1213"
NA,4,NA,0,NA,"Carlon",295,"C2",59453,FALSE,FALSE,"1213"
NA,51,NA,0,NA,"Carlon",19,"C2",59467,FALSE,FALSE,"1213"
NA,42,NA,0,NA,"Carlon",19,"C2",59468,FALSE,FALSE,"1213"
NA,45,NA,0,NA,"Carlon",19,"C2",59469,FALSE,FALSE,"1213"
NA,15,NA,0,NA,"Carlon",19,"C2",59470,FALSE,FALSE,"1213"
NA,93,NA,0,NA,"Carlon",19,"C2",59471,FALSE,FALSE,"1213"
NA,138,NA,1,3,"Carlon",19,"C2",59472,FALSE,FALSE,"1213"
NA,19,NA,0,NA,"Carlon",19,"C2",59473,FALSE,FALSE,"1213"
NA,3,NA,0,NA,"Carlon",19,"C2",59474,FALSE,FALSE,"1213"
NA,15,NA,0,NA,"Carlon",19,"C2",59475,FALSE,FALSE,"1213"
NA,4,NA,0,NA,"Carlon",19,"C2",59476,FALSE,FALSE,"1213"
NA,33,NA,0,NA,"Carlon",19,"C2",59477,FALSE,FALSE,"1213"
NA,9,NA,0,NA,"Carlon",19,"C2",59480,FALSE,FALSE,"1213"
NA,4,NA,0,NA,"Carlon",19,"C2",59481,FALSE,FALSE,"1213"
NA,3,NA,0,NA,"Carlon",19,"C2",59482,FALSE,FALSE,"1213"
NA,15,NA,0,NA,"Carlon",19,"C2",59487,FALSE,FALSE,"1213"
