ID,GROUP,CODE,SITE,PLOT,SUBSTRATE,silt,sand,gravel,cobble,boulder,slab,H_silt,H_sand,H_gravel,H_cobble,H_boulder,H_slab,SUM,aspect,Densi_raw_Mean,Asp_Expo,Densi_cover,Particle_mean,Particle_even,moist_score,Vert _dist_wat,Horiz_dist_to_wat,tot_area_Seasonal,plot_slope,WatAREA__to_bankAREA,
1,1,MOSBY P02.2,MOSBY,P02,cobble,0,10,10,80,0,0,#NUM!,-2.E-01,-2.E-01,-2.E-01,#NUM!,#NUM!,100,300,34,120,35.36,0.865,0.64,4,0.24,4.03,1,0.20,3,
1,1,MOSBY P03.2,MOSBY,P03,cobble,0,5,5,90,0,0,#NUM!,-1.E-01,-1.E-01,-9.E-02,#NUM!,#NUM!,100,200,30.5,20,31.72,0.9325,0.39,2.5,0.29,4.04,1.2,0.25,3.22,
1,1,COAST P01.2,COAST,P01,slab,0,30,10,10,0,50,#NUM!,-4.E-01,-2.E-01,-2.E-01,#NUM!,-3.E-01,100,100,77.5,80,80.6,0.795,1.17,3,0.31,6.55,2.665,0.13,0.38,
1,1,COAST P02.2,COAST,P02,sand,0,75,5,0,0,20,#NUM!,-2.E-01,-1.E-01,#NUM!,#NUM!,-3.E-01,100,120,74,60,76.96,0.3775,0.69,3.5,0.38,4.06,1.38,0.16,1.23,
1,1,COAST P03.2,COAST,P03,sand,0,50,5,35,10,0,#NUM!,-3.E-01,-1.E-01,-4.E-01,-2.E-01,#NUM!,100,120,92,60,95.68,0.565,1.09,4,0.23,5.38,2.5175,0.20,0.18,
1,1,COAST P04.2,COAST,P04,cobble,0,5,20,70,0,5,#NUM!,-1.E-01,-3.E-01,-2.E-01,#NUM!,-1.E-01,100,130,80,50,83.2,0.8675,0.87,3.5,0.13,5.74,1.881,0.14,0.19,
1,1,COAST P05.2,COAST,P05,cobble,0,10,15,65,0,10,#NUM!,-2.E-01,-3.E-01,-3.E-01,#NUM!,-2.E-01,100,100,78.5,80,81.64,0.86,1.03,3.5,0.18,5.54,1.87,0.15,0.3,
1,1,COAST P06.2,COAST,P06,boulder,0,5,5,40,50,0,#NUM!,-1.E-01,-1.E-01,-4.E-01,-3.E-01,#NUM!,100,180,30.5,0,31.72,1.0075,1.01,4,0.34,10.22,3.315,0.05,0.38,
1,1,COAST P07.2,COAST,P07,cobble,0,15,15,40,30,0,#NUM!,-3.E-01,-3.E-01,-4.E-01,-4.E-01,#NUM!,100,200,42.5,20,44.2,0.8425,1.30,4,0.33,10.41,2.86,0.05,2.5,
1,1,COAST P08.2,COAST,P08,boulder,0,5,10,20,65,0,#NUM!,-1.E-01,-2.E-01,-3.E-01,-3.E-01,#NUM!,100,160,69.5,20,72.28,1.005,0.98,3.5,0.09,10.02,2.95,0.07,0.08,
1,1,COAST P09.2,COAST,P09,boulder,0,0,15,20,65,0,#NUM!,#NUM!,-3.E-01,-3.E-01,-3.E-01,#NUM!,100,180,22,0,22.88,1.0225,0.89,5,0.02,9.32,2.79,0.06,0,
1,1,COAST P10.2,COAST,P10,boulder,0,0,5,45,50,0,#NUM!,#NUM!,-1.E-01,-4.E-01,-3.E-01,#NUM!,100,180,49.5,0,51.48,1.05,0.86,4,0.22,11.43,4.959,0.08,0.18,
1,1,COAST P11.2,COAST,P11,sand,0,25,25,25,25,0,#NUM!,-3.E-01,-3.E-01,-3.E-01,-3.E-01,#NUM!,100,180,15,0,15.6,0.7,1.39,2.5,0.55,7.08,3.675,0.16,1.47,
1,1,COAST P12.2,COAST,P12,sand,0,40,10,40,10,0,#NUM!,-4.E-01,-2.E-01,-4.E-01,-2.E-01,#NUM!,100,160,39,20,40.56,0.625,1.19,0.5,1.14,5.71,3.192,0.20,1,
1,1,COAST P13.2,COAST,P13,cobble,0,0,10,50,40,0,#NUM!,#NUM!,-2.E-01,-3.E-01,-4.E-01,#NUM!,100,180,32,0,33.28,1.01,0.94,2.5,0.48,2.45,0.576,0.20,1,
1,1,COAST P14.2,COAST,P14,cobble,0,5,5,60,30,0,#NUM!,-1.E-01,-1.E-01,-3.E-01,-4.E-01,#NUM!,100,130,18,50,18.72,0.9775,0.97,2.5,0.25,2.07,0.55,0.39,1.94,
1,1,COAST P15.2,COAST,P15,cobble,0,10,15,60,15,0,#NUM!,-2.E-01,-3.E-01,-3.E-01,-3.E-01,#NUM!,100,230,57.5,50,59.8,0.8625,1.11,3.5,0.30,5.96,2.419,0.14,0.3,
1,1,LOOK P01.2,LOOK,P01,sand,30,45,0,25,0,0,-4.E-01,-4.E-01,#NUM!,-3.E-01,#NUM!,#NUM!,100,70,38,110,39.52,0.2875,1.07,2.5,0.04,14.00,2.03,0.02,0.07,
1,1,LOOK P02.2,LOOK,P02,cobble,0,5,10,75,10,0,#NUM!,-1.E-01,-2.E-01,-2.E-01,-2.E-01,#NUM!,100,130,68,50,70.72,0.9225,0.83,3.5,0.60,6.59,3.575,0.15,0.85,
1,1,LOOK P03.2,LOOK,P03,cobble,0,5,10,80,5,0,#NUM!,-1.E-01,-2.E-01,-2.E-01,-1.E-01,#NUM!,100,120,71,60,73.84,0.915,0.71,3,0.06,12.71,3.302,0.04,0.04,
1,1,LOOK P04.2,LOOK,P04,cobble,0,10,10,70,10,0,#NUM!,-2.E-01,-2.E-01,-2.E-01,-2.E-01,#NUM!,100,120,62.5,60,65,0.88,0.94,3.5,0.29,10.32,2.9355,0.05,0.3,
1,1,LOOK P05.2,LOOK,P05,cobble,0,5,15,80,0,0,#NUM!,-1.E-01,-3.E-01,-2.E-01,#NUM!,#NUM!,100,100,65,80,67.6,0.8825,0.61,3.5,0.30,9.01,2.25,0.04,0.75,
